date,vix
30-09-2020,19.53
29-09-2020,19.775
28-09-2020,19.5725
25-09-2020,20.675
24-09-2020,23.51
23-09-2020,20.99
22-09-2020,21.41
21-09-2020,22.1875
18-09-2020,20.045
17-09-2020,20.1
16-09-2020,19.66
15-09-2020,20.5975
14-09-2020,21.19
11-09-2020,20.7125
10-09-2020,21.2625
09-09-2020,22.23
08-09-2020,22.7225
07-09-2020,22.0075
04-09-2020,22.1525
03-09-2020,20.5025
02-09-2020,21.105
01-09-2020,21.8
31-08-2020,22.835
28-08-2020,18.3475
27-08-2020,18.895
26-08-2020,19.3025
25-08-2020,19.315
24-08-2020,19.23
21-08-2020,19.9375
20-08-2020,20.6175
19-08-2020,19.9575
18-08-2020,20.43
17-08-2020,21.3075
14-08-2020,21.6725
13-08-2020,20.5675
12-08-2020,20.845
11-08-2020,21.36
10-08-2020,22.51
07-08-2020,22.5775
06-08-2020,23.15
05-08-2020,23.5675
04-08-2020,23.815
03-08-2020,25.185
31-07-2020,24.1925
30-07-2020,24.7275
29-07-2020,24.1125
28-07-2020,23.6425
27-07-2020,25.0175
24-07-2020,24.535
23-07-2020,24.64
22-07-2020,24.885
21-07-2020,24.4275
20-07-2020,24.7125
17-07-2020,24.1575
16-07-2020,25.3625
15-07-2020,26.29
14-07-2020,26.6375
13-07-2020,25.2525
10-07-2020,24.9425
09-07-2020,24.9125
08-07-2020,26.1
07-07-2020,25.1025
06-07-2020,25.1975
03-07-2020,25.7675
02-07-2020,26.5075
01-07-2020,28.1175
30-06-2020,29.1175
29-06-2020,28.91
26-06-2020,28.735
25-06-2020,29.7275
24-06-2020,29.5775
23-06-2020,29.34
22-06-2020,30.46
19-06-2020,29.965
18-06-2020,31.455
17-06-2020,33.355
16-06-2020,32.965
15-06-2020,32.5775
12-06-2020,30.8225
11-06-2020,29.66
10-06-2020,29.4375
09-06-2020,30.205
08-06-2020,29.6475
05-06-2020,28.68
04-06-2020,29.69
03-06-2020,30.0425
02-06-2020,30.115
01-06-2020,30.7425
29-05-2020,30.22
28-05-2020,30.0175
27-05-2020,31.2725
26-05-2020,31.47
22-05-2020,32.3775
21-05-2020,32.985
20-05-2020,35.81
19-05-2020,39.4525
18-05-2020,40.915
15-05-2020,38.0175
14-05-2020,38.1825
13-05-2020,38.835
12-05-2020,38.205
11-05-2020,38.0375
08-05-2020,38.4075
07-05-2020,39.93
06-05-2020,41.2475
05-05-2020,43.6075
04-05-2020,43.67
30-04-2020,33.9875
29-04-2020,33.8375
28-04-2020,35.355
27-04-2020,38.0425
24-04-2020,39.1175
23-04-2020,39.23
22-04-2020,42.8225
21-04-2020,45.1975
20-04-2020,43.455
17-04-2020,42.5925
16-04-2020,46.095
15-04-2020,49.735
13-04-2020,51.4575
09-04-2020,49.745
08-04-2020,52.2425
07-04-2020,51.8
03-04-2020,55.3025
01-04-2020,60.0525
31-03-2020,64.4075
30-03-2020,71.89
27-03-2020,70.385
26-03-2020,71.5325
25-03-2020,77.625
24-03-2020,83.6075
23-03-2020,71.985
20-03-2020,67.1
19-03-2020,72.1975
18-03-2020,63.955
17-03-2020,62.925
16-03-2020,58.875
13-03-2020,51.4725
12-03-2020,41.1625
11-03-2020,31.555
09-03-2020,30.8
06-03-2020,25.6425
05-03-2020,23.2475
04-03-2020,24.225
03-03-2020,24.5425
02-03-2020,25.2025
28-02-2020,23.235
27-02-2020,17.765
26-02-2020,18.26
25-02-2020,16.8975
24-02-2020,16.9975
20-02-2020,13.7
19-02-2020,14.0225
18-02-2020,14.51
17-02-2020,14.415
14-02-2020,13.615
13-02-2020,13.37
12-02-2020,13.6225
11-02-2020,13.88
10-02-2020,14.21
07-02-2020,13.7475
06-02-2020,13.78
05-02-2020,14.1725
04-02-2020,14.38
03-02-2020,15.7825
01-02-2020,16.835
31-01-2020,17.3675
30-01-2020,16.7975
29-01-2020,16.4975
28-01-2020,17.2975
27-01-2020,17.175
24-01-2020,15.56
23-01-2020,15.855
22-01-2020,16.36
21-01-2020,15.8625
20-01-2020,15.41
17-01-2020,14.1275
16-01-2020,14.1825
15-01-2020,14.12
14-01-2020,13.9125
13-01-2020,14.275
10-01-2020,14.0775
09-01-2020,13.9975
08-01-2020,15.64
07-01-2020,14.61
06-01-2020,14.7775
03-01-2020,12.695
02-01-2020,11.49
01-01-2020,11.5975
31-12-2019,11.6675
30-12-2019,11.0075
27-12-2019,10.525
26-12-2019,11.1225
24-12-2019,11.625
23-12-2019,11.9575
20-12-2019,12.325
19-12-2019,12.1225
18-12-2019,12.3375
17-12-2019,12.5175
16-12-2019,13.415
13-12-2019,13.3
12-12-2019,13.3475
11-12-2019,13.3775
10-12-2019,14.29
09-12-2019,14.5975
06-12-2019,13.64
05-12-2019,14.305
04-12-2019,13.3225
03-12-2019,14.5625
02-12-2019,14.2025
29-11-2019,13.8975
28-11-2019,13.9875
27-11-2019,14.6175
26-11-2019,14.8375
25-11-2019,15.0025
22-11-2019,14.8725
21-11-2019,14.975
20-11-2019,15.16
19-11-2019,15.4125
18-11-2019,15.755
15-11-2019,15.03
14-11-2019,15.65
13-11-2019,16.4625
11-11-2019,16.25
08-11-2019,15.855
07-11-2019,15.2075
06-11-2019,15.775
05-11-2019,15.9175
04-11-2019,15.925
01-11-2019,15.7325
31-10-2019,16.28
30-10-2019,16.6575
29-10-2019,16.42
27-10-2019,15.585
25-10-2019,15.315
24-10-2019,16.24
23-10-2019,16.535
22-10-2019,16.81
18-10-2019,15.9275
17-10-2019,15.8775
16-10-2019,16.36
15-10-2019,16.85
14-10-2019,17.43
11-10-2019,17.14
10-10-2019,17.2275
09-10-2019,17.155
07-10-2019,17.83
04-10-2019,17.58
03-10-2019,17.7025
01-10-2019,16.7575
30-09-2019,15.8725
27-09-2019,16.115
26-09-2019,16.3425
25-09-2019,16.17
24-09-2019,16.7325
23-09-2019,16.7925
20-09-2019,15.4
19-09-2019,15.55
18-09-2019,15.3525
17-09-2019,16.0175
16-09-2019,14.9525
13-09-2019,14.12
12-09-2019,14.9
11-09-2019,15.3725
09-09-2019,15.8525
06-09-2019,16.275
05-09-2019,17.2725
04-09-2019,17.235
03-09-2019,18.055
30-08-2019,16.2825
29-08-2019,16.425
28-08-2019,16.835
27-08-2019,16.01
26-08-2019,16.655
23-08-2019,17.3475
22-08-2019,17.8525
21-08-2019,17.0225
20-08-2019,16.6325
19-08-2019,16.7475
16-08-2019,16.6475
14-08-2019,16.3575
13-08-2019,17.7775
09-08-2019,15.845
08-08-2019,16.0925
07-08-2019,16.74
06-08-2019,16.12
05-08-2019,16.585
02-08-2019,15.1875
01-08-2019,14.5575
31-07-2019,13.59
30-07-2019,13.6125
29-07-2019,13.0625
26-07-2019,12.1325
25-07-2019,12.635
24-07-2019,12.76
23-07-2019,13.4275
22-07-2019,13.01
19-07-2019,12.515
18-07-2019,11.75
17-07-2019,11.8
16-07-2019,11.56
15-07-2019,12.02
