Index Name,Date,Open,High,Low,Close,FII_Gross_Purchase,FII_Gross_Sales,FII_Net_Purchase_Sales,DII_Gross_Purchase,DII_Gross_Sales,DII_Net_Purchase_Sales,vix
NIFTY 50,2018-05-23,10521.1,10533.55,10417.8,10430.35,4503.36,4814.47,-311.11,4248.94,3459.16,789.78,14.15999985
NIFTY 50,2018-05-22,10518.45,10558.6,10490.55,10536.7,3072.35,4723.98,-1651.63,4351.03,2854.2,1496.83,13.60000038
NIFTY 50,2018-05-21,10616.7,10621.7,10505.8,10516.7,4721.22,5217.25,-496.03,4411.58,3221.02,1190.56,14.40999985
NIFTY 50,2018-05-18,10671.85,10674.95,10589.1,10596.4,5602.98,5769.13,-166.15,3992.82,3843.24,149.58,14.14999962
NIFTY 50,2018-05-17,10775.6,10777.25,10664.5,10682.7,4825.32,5656.26,-830.94,3847.31,3418.39,428.92,13.40999985
NIFTY 50,2018-05-16,10751.95,10790.45,10699.7,10741.1,4914.44,5613.66,-699.22,3395.74,3166.68,229.06,13.43999958
NIFTY 50,2018-05-15,10812.6,10929.2,10781.4,10801.85,5308.14,5826.61,-518.47,5263.69,4732.36,531.33,13.17000008
NIFTY 50,2018-05-14,10815.15,10834.85,10774.75,10806.6,4734.72,4016.73,717.99,3667.73,2980.5,687.23,14.25
NIFTY 50,2018-05-11,10741.95,10812.05,10724.45,10806.5,3911.49,4236.93,-325.44,4486.98,3323.63,1163.35,13.97999954
NIFTY 50,2018-05-10,10779.65,10785.55,10705.0,10716.55,4751.89,5116.77,-364.88,3455.13,2554.44,900.69,14.43000031
NIFTY 50,2018-05-09,10693.35,10766.25,10689.85,10741.7,4044.41,4748.44,-704.03,3544.17,2879.25,664.92,14.27000046
NIFTY 50,2018-05-08,10757.9,10758.55,10689.4,10717.8,6013.34,6110.49,-97.15,4112.37,3189.12,923.25,14.06000042
NIFTY 50,2018-05-07,10653.15,10725.65,10635.65,10715.5,3841.79,4477.03,-635.24,3352.64,2315.41,1037.23,13.76000023
NIFTY 50,2018-05-04,10700.45,10700.45,10601.6,10618.25,3398.5,5026.73,-1628.23,3258.17,2174.08,1084.09,13.25
NIFTY 50,2018-05-03,10720.15,10720.6,10647.45,10679.65,5677.52,5825.94,-148.42,2568.47,3147.39,-578.92,12.98999977
NIFTY 50,2018-05-02,10783.85,10784.65,10689.8,10718.05,6921.85,7447.78,-525.93,3152.94,2987.1,165.84,12.84000015
NIFTY 50,2018-04-30,10705.75,10759.0,10704.6,10739.35,3792.24,4177.71,-385.47,2180.04,1918.06,261.98,12.35999966
NIFTY 50,2018-04-27,10651.65,10719.8,10647.55,10692.3,4721.89,5481.1,-759.21,3757.34,3123.63,633.71,12.02000046
NIFTY 50,2018-04-26,10586.5,10628.4,10559.65,10617.8,7339.31,8395.65,-1056.34,5736.47,5052.36,684.11,12.03999996
NIFTY 50,2018-04-25,10612.4,10612.6,10536.45,10570.55,4675.32,4980.11,-304.79,3445.94,3009.96,435.98,12.39999962
NIFTY 50,2018-04-24,10578.1,10636.8,10569.0,10614.35,4356.2,5037.19,-680.99,3383.4,2874.85,508.55,11.89999962
