Date,FII_Gross_Purchase,FII_Gross_Sales,FII_Net_Purchase_Sales,DII_Gross_Purchase,DII_Gross_Sales,DII_Net_Purchase_Sales
03-01-2024,9103,9769.34,-666.34,10402.57,11265.55,-862.98
02-01-2024,10200.3,8598.2,1602.1,8695.7,10654.7,-1959
01-01-2024,1311.29,2167.09,-855.8,7004.39,6593.93,410.46
29-12-2023,9503.57,8044.45,1459.12,10908.46,10354.07,554.39
28-12-2023,13489.78,9130.79,4358.99,18258.2,18121.56,136.64
27-12-2023,10654.11,7728.06,2926.05,9136.75,9328.76,-192.01
26-12-2023,6174.15,6269.35,-95.2,8830.04,8663,167.04
22-12-2023,10905.88,13734.82,-2828.94,10332.17,8165.45,2166.72
21-12-2023,9715.29,11351.48,-1636.19,9750.21,8285.51,1464.7
20-12-2023,19190,20512.08,-1322.08,16194.18,11439.84,4754.34
19-12-2023,11748.82,12350.34,-601.52,8728.85,8434.5,294.35
18-12-2023,11473.54,11507.05,-33.51,9657.75,9243.87,413.88
15-12-2023,37677.58,28438.16,9239.42,11300.61,14378.04,-3077.43
14-12-2023,21080.4,17510.33,3570.07,12118.3,11565.13,553.17
13-12-2023,19273.27,14562.41,4710.86,8697.17,9655.66,-958.49
12-12-2023,16037.09,15960.23,76.86,12206.24,10282.92,1923.32
11-12-2023,10710.66,9449.53,1261.13,8298.69,9331.61,-1032.92
08-12-2023,19329.28,15696.98,3632.3,9533.13,9967.15,-434.02
07-12-2023,13934.88,15498.91,-1564.03,9313.11,9322.77,-9.66
06-12-2023,11836.42,11916.3,-79.88,12323.18,10951,1372.18
05-12-2023,17190.73,11967.22,5223.51,11467.11,12866.29,-1399.18
04-12-2023,18705.23,16632.02,2073.21,16342,11544.85,4797.15
01-12-2023,10522.36,8932.75,1589.61,11173.05,9724.97,1448.08
29-11-2023,16041.3,15969.4,71.9,10922.5,8561.7,2360.8
28-11-2023,14474.3,13690.5,783.8,8088.7,6763.7,1325
24-11-2023,8833.3,6208.1,2625.2,6090.6,5956.1,134.5
23-11-2023,7348.72,7093.19,255.53,6234.47,5777.08,457.39
22-11-2023,8111.73,8418.29,-306.56,6749.42,6028.18,721.24
21-11-2023,10471.83,10927.42,-455.59,6361.92,5640.4,721.52
20-11-2023,8776.18,9421.9,-645.72,6446.83,6369.06,77.77
17-11-2023,11557.65,12035.41,-477.76,6849.04,7414.52,-565.48
16-11-2023,13546.39,12589.14,957.25,6690.87,5985.22,705.65
15-11-2023,15620.95,15070.76,550.19,8165.17,7555.35,609.82
13-11-2023,5991.24,7235.68,-1244.44,5613.86,4783.46,830.4
12-11-2023,12.06,202.12,-190.06,120.82,25.51,95.31
10-11-2023,6583.57,6845.38,-261.81,6239.42,5416.78,822.64
09-11-2023,7166.98,8879.31,-1712.33,7930.58,6418.44,1512.14
08-11-2023,7467.02,7551.57,-84.55,7548.9,7024.43,524.47
07-11-2023,7580.65,8077.86,-497.21,8596.01,7895.73,700.28
06-11-2023,7741.97,8291.34,-549.37,8311.28,7715.58,595.7
03-11-2023,7739,7751.43,-12.43,7932.73,7530.04,402.69
02-11-2023,7857.27,9118.46,-1261.19,7012.69,5632.54,1380.15
01-11-2023,6687.13,8478.01,-1790.88,419.95,331.26,88.69
31-10-2023,10940.2,11636.22,-696.02,6479.49,6139.24,340.25
30-10-2023,6653.7,8415.56,-1761.86,7523.6,6195.13,1328.47
27-10-2023,9360.25,10860.38,-1500.13,7135.99,6822.3,313.69
26-10-2023,10239.05,17941.58,-7702.53,13600.71,7042.26,6558.45
25-10-2023,9075.61,13312.21,-4236.6,9638.55,6069.19,3569.36
23-10-2023,8229.8,7977.55,252.25,8022.52,6910.68,1111.84
20-10-2023,13645.57,13189.36,456.21,6870.72,6862.19,8.53
19-10-2023,10102.11,11195.58,-1093.47,7249.75,6513.6,736.15
18-10-2023,9761.24,11593.08,-1831.84,8166.53,6697.03,1469.5
17-10-2023,8517.96,8254.28,263.68,6492.43,6379.88,112.55
16-10-2023,7013.59,7607.25,-593.66,6737.67,5553.43,1184.24
13-10-2023,10317.87,10000.86,317.01,7660.98,7763.86,-102.88
12-10-2023,8601.4,10463.97,-1862.57,8706.39,7174.31,1532.08
11-10-2023,12526.94,12948.71,-421.77,8369.48,7337.46,1032.02
10-10-2023,8067.15,9072.64,-1005.49,8623.58,6660.24,1963.34
09-10-2023,6847.63,6074.8,772.83,399.02,885.92,-486.9
06-10-2023,6727.34,6817.63,-90.29,7150.57,6367.32,783.25
05-10-2023,10304.08,12168.28,-1864.2,7787.18,7265.77,521.41
04-10-2023,9848.55,14272.57,-4424.02,10050.08,8280.59,1769.49
03-10-2023,9714.68,11748.82,-2034.14,9223.41,7862.39,1361.02
29-09-2023,10058.35,11744.05,-1685.7,8788.5,6037.01,2751.49
28-09-2023,10711.39,14075.61,-3364.22,15118.41,12406.93,2711.48
27-09-2023,9575.17,9929.52,-354.35,8419.68,8033.4,386.28
26-09-2023,8750.81,9444.28,-693.47,7502.47,6787.72,714.75
25-09-2023,8510.65,10843.68,-2333.03,8621.77,7042.49,1579.28
22-09-2023,10840.2,12166.94,-1326.74,7902.06,7100.79,801.27
21-09-2023,9132.58,12139.94,-3007.36,7860.39,6702.25,1158.14
20-09-2023,15769.17,18879.86,-3110.69,10052.34,10625.36,-573.02
18-09-2023,7520.34,8756.85,-1236.51,8097.08,7544.53,552.55
15-09-2023,33124.28,32959.86,164.42,12082.64,10144.07,1938.57
14-09-2023,9870,9575.31,294.69,6943.14,6993.94,-50.8
13-09-2023,10375.25,12006.88,-1631.63,8104.69,7254.83,849.86
12-09-2023,13653.37,14700.56,-1047.19,10341,10081.51,259.49
11-09-2023,11469.51,9996.42,1473.09,8522.4,8156.16,366.24
08-09-2023,9850.49,10074.71,-224.22,8324.05,7173.9,1150.15
07-09-2023,9005.65,9764.2,-758.55,7203.95,7175.84,28.11
06-09-2023,9994.21,13240.07,-3245.86,10202.87,10450.33,-247.46
05-09-2023,8414.44,10139.55,-1725.11,8580.69,7502.83,1077.86
04-09-2023,6833.29,10200.96,-3367.67,10461.54,7898.06,2563.48
01-09-2023,15219.61,14731.67,487.94,10888.79,8593.86,2294.93
30-08-2023,10211.33,10706.01,-494.68,8713.38,7390.14,1323.24
29-08-2023,10515.48,10453.97,61.51,8131.87,7826.78,305.09
28-08-2023,10235.41,11628.66,-1393.25,7711.28,6447.27,1264.01
25-08-2023,10929.61,15567.82,-4638.21,8542.44,7128.09,1414.35
24-08-2023,12992.74,11467.87,1524.87,13050.83,7254.22,5796.61
23-08-2023,9419.37,8805.05,614.32,7228.77,7103.74,125.03
22-08-2023,8854.08,9349.25,-495.17,6027.22,5493.47,533.75
21-08-2023,8074.95,9976.05,-1901.1,6157.4,5531.15,626.25
18-08-2023,12302.17,12569.15,-266.98,6501,6161.82,339.18
17-08-2023,11205.13,12715.99,-1510.86,6293.38,6607.35,-313.97
16-08-2023,21055.98,20333.22,722.76,7977.67,5571.48,2406.19
14-08-2023,7334.69,9658.92,-2324.23,7640.85,6179.95,1460.9
11-08-2023,9508.14,12581.42,-3073.28,8828.21,8327.86,500.35
10-08-2023,11533.43,11202.21,331.22,9153.78,8450.06,703.72
09-08-2023,9342.47,8698.36,644.11,8041.44,8639.32,-597.88
08-08-2023,10721.75,11433.09,-711.34,8809.11,8271.8,537.31
07-08-2023,11709.39,13602.16,-1892.77,7491.4,6410.6,1080.8
04-08-2023,8674.23,9230.55,-556.32,8378.65,8012.04,366.61
03-08-2023,11379.3,11696.76,-317.46,9582.3,7853.11,1729.19
02-08-2023,8266.22,10144.06,-1877.84,9312.5,9314.73,-2.23
01-08-2023,8655.19,8748.04,-92.85,8156.13,7120.44,1035.69
28-07-2023,9267.42,10291.33,-1023.91,8813.04,7178.67,1634.37
27-07-2023,11640.43,15619.87,-3979.44,9281.77,6753.62,2528.15
26-07-2023,8700.87,7778.03,922.84,7529.42,7059.32,470.1
25-07-2023,10471.84,9383.08,1088.76,7793.68,8127.38,-333.7
24-07-2023,9719.18,9802.14,-82.96,8655.89,7721.02,934.87
21-07-2023,10020.4,12019.17,-1998.77,10532.48,9241.75,1290.73
