Date,FII_Gross_Purchase,FII_Gross_Sales,FII_Net_Purchase_Sales,DII_Gross_Purchase,DII_Gross_Sales,DII_Net_Purchase_Sales
23-Dec-15,"2,426.42","2,040.60",385.82,"1,743.36","1,110.72",632.64
22-Dec-15,"2,578.47","2,409.74",168.73,"1,362.28","1,123.92",238.36
21-Dec-15,"2,468.66","2,431.29",37.37,"1,191.34","1,128.64",62.7
18-Dec-15,"5,642.44","5,649.43",-6.99,"1,448.04","1,853.02",-404.98
17-Dec-15,"4,108.58","3,470.57",638.01,"1,950.31","2,316.54",-366.23
16-Dec-15,"2,732.49","3,235.71",-503.22,"2,288.98","1,264.95","1,024.03"
15-Dec-15,"3,277.54","3,228.87",48.67,"1,663.79","1,389.86",273.93
14-Dec-15,"2,764.10","2,921.17",-157.07,"1,627.73","1,241.26",386.47
11-Dec-15,"3,824.52","3,570.79",253.73,"1,790.32","1,497.44",292.88
10-Dec-15,"3,226.68","3,806.96",-580.28,"1,741.90","1,330.98",410.92
09-Dec-15,"3,096.25","3,623.66",-527.41,"1,938.11","1,073.40",864.71
08-Dec-15,"3,109.43","3,627.89",-518.46,"1,577.24",986.92,590.32
07-Dec-15,"3,686.75","3,751.79",-65.04,"1,268.82","1,323.72",-54.9
04-Dec-15,"3,561.68","5,307.41","-1,745.73","2,344.24","1,275.23","1,069.01"
03-Dec-15,"3,192.71","3,804.14",-611.43,"1,612.95","1,091.84",521.11
02-Dec-15,"3,712.27","3,651.66",60.61,"1,243.43","1,321.74",-78.31
01-Dec-15,"4,097.82","4,204.60",-106.78,"1,337.74","1,142.99",194.75
30-Nov-15,"13,538.84","14,582.68","-1,043.84","2,977.78","2,376.05",601.73
27-Nov-15,"2,676.99","3,196.24",-519.25,"2,074.43","1,173.95",900.48
26-Nov-15,"5,980.12","6,378.22",-398.1,"3,343.24","2,394.26",948.98
24-Nov-15,"3,252.52","3,792.64",-540.12,"1,866.12","1,333.99",532.13
23-Nov-15,"3,143.41","3,178.78",-35.37,"1,361.82","1,271.54",90.28
20-Nov-15,"3,302.53","3,396.62",-94.09,"1,876.73","1,266.57",610.16
19-Nov-15,"3,486.83","3,830.01",-343.18,"1,355.79","1,121.97",233.82
18-Nov-15,"2,980.98","3,749.44",-768.46,"1,598.38",839.12,759.26
17-Nov-15,"3,500.40","3,992.85",-492.45,"1,697.49",914.47,783.02
16-Nov-15,"3,345.60","4,396.86","-1,051.26","1,664.52","1,002.81",661.71
13-Nov-15,"5,554.39","6,301.09",-746.7,"1,526.75","1,455.86",70.89
11-Nov-15,190.6,202.53,-11.93,27.47,16.95,10.52
10-Nov-15,"3,205.53","3,867.48",-661.95,"2,237.44","1,579.11",658.33
09-Nov-15,"3,816.91","4,677.97",-861.06,"2,320.16","1,698.98",621.18
06-Nov-15,"3,160.49","2,941.32",219.17,"1,900.64","1,940.09",-39.45
05-Nov-15,"3,915.98","4,907.85",-991.87,"1,883.87","1,247.72",636.15
04-Nov-15,"3,531.96","3,498.80",33.16,"1,176.28","1,251.18",-74.9
03-Nov-15,"3,171.23","3,621.07",-449.84,"1,603.67","1,253.36",350.31
02-Nov-15,"3,258.00","3,530.67",-272.67,"1,335.56","1,190.18",145.38
30-Oct-15,"3,385.74","4,850.63","-1,464.89","3,291.32","1,731.21","1,560.11"
29-Oct-15,"5,675.32","5,501.20",174.12,"2,713.80","3,013.00",-299.2
28-Oct-15,"4,429.41","5,160.58",-731.17,"2,020.18","1,860.01",160.17
27-Oct-15,"5,210.19","5,200.69",9.5,"1,487.76","1,653.21",-165.45
26-Oct-15,"4,111.58","3,387.07",724.51,"1,115.08","1,645.86",-530.78
23-Oct-15,"4,532.49","4,303.31",229.18,"1,305.26","1,461.15",-155.89
21-Oct-15,"2,955.76","3,004.09",-48.33,"1,469.07","1,607.80",-138.73
20-Oct-15,"4,496.80","3,973.11",523.69,"1,821.75","2,176.71",-354.96
19-Oct-15,"3,463.95","2,565.72",898.23,"1,330.05","1,576.31",-246.26
16-Oct-15,"3,527.27","3,090.48",436.79,"1,603.17","1,500.68",102.49
14-Oct-15,"3,574.14","3,452.39",121.75,"1,316.33","1,523.96",-207.63
13-Oct-15,"3,618.12","3,345.51",272.61,974.81,"1,248.32",-273.51
12-Oct-15,"2,770.03","2,452.47",317.56,"1,036.58","1,211.65",-175.07
09-Oct-15,"3,594.01","3,110.15",483.86,"1,583.23","1,952.23",-369
08-Oct-15,"4,092.94","4,141.83",-48.89,"1,382.71","1,682.46",-299.75
07-Oct-15,"4,094.77","4,145.37",-50.6,"1,427.23","1,645.98",-218.75
06-Oct-15,"4,402.61","3,922.37",480.24,"2,000.74","2,425.34",-424.6
05-Oct-15,"5,203.78","4,553.88",649.9,"2,409.69","2,043.92",365.77
