Date,FII_Gross_Purchase,FII_Gross_Sales,FII_Net_Purchase_Sales,DII_Gross_Purchase,DII_Gross_Sales,DII_Net_Purchase_Sales
11-03-2016,3499.01,3120.65,378.36,1163.15,1595.96,-432.81
10-03-2016,4727.42,3664.31,1063.11,952.06,1550.09,-598.03
09-03-2016,4868.19,4405.33,462.86,1170.71,1994.27,-823.56
08-03-2016,7088.18,6313.11,775.07,800.77,2142.28,-1341.51
04-03-2016,4231.6,3560.03,671.57,1393.43,1926.53,-533.1
03-03-2016,4363.82,3451.84,911.98,1845.35,2310.1,-464.75
02-03-2016,5877.6,4440.1,1437.5,2024.92,2618.59,-593.67
01-03-2016,7504.37,4591.78,2912.59,2203.55,3038.14,-834.59
26-02-2016,2807.45,3502.82,-695.37,2043.48,1259.34,784.14
25-02-2016,4959.8,6425.48,-1465.68,2569.2,1762.23,806.97
24-02-2016,2953.79,3684.78,-730.99,1484.16,878.28,605.88
23-02-2016,3356.14,3645.8,-289.66,1385.32,1127.39,257.93
22-02-2016,2617.38,3274.31,-656.93,1377.85,779.98,597.87
19-02-2016,2772.85,2964.58,-191.73,881.27,864.74,16.53
18-02-2016,4096.46,3677.82,418.64,1663.25,951.13,712.12
17-02-2016,3029.01,3589.01,-560.0,1511.72,1127.19,384.53
16-02-2016,2898.07,3862.26,-964.19,1525.18,934.45,590.73
15-02-2016,3661.07,4972.66,-1311.59,3223.71,1236.26,1987.45
12-02-2016,4689.99,5088.36,-398.37,2916.73,2371.66,545.07
11-02-2016,2976.24,4088.9,-1112.66,2953.99,1731.87,1222.12
10-02-2016,3632.66,4383.99,-751.33,2106.71,1909.79,196.92
09-02-2016,1990.0,2670.7,-680.7,1634.92,1809.06,-174.14
08-02-2016,1853.26,1937.82,-84.56,1531.24,1251.75,279.49
05-02-2016,3051.02,3657.85,-606.83,2518.01,1757.99,760.02
04-02-2016,3121.98,3317.9,-195.92,2040.07,1563.63,476.44
03-02-2016,3160.51,3517.64,-357.13,1455.23,1600.01,-144.78
02-02-2016,4102.58,4216.56,-113.98,1346.11,1669.34,-323.23
01-02-2016,4211.32,3957.44,253.88,1104.5,1640.2,-535.7
29-01-2016,5632.66,5060.96,571.7,2121.61,1881.59,240.02
28-01-2016,5889.83,6851.65,-961.82,2872.07,2477.85,394.22
27-01-2016,4355.0,4721.93,-366.93,1583.49,1083.5,499.99
25-01-2016,3261.63,3352.78,-91.15,1272.53,964.64,307.89
22-01-2016,3920.3,4690.13,-769.83,2310.9,1395.3,915.6
21-01-2016,4042.16,5789.39,-1747.23,2544.12,1276.38,1267.74
20-01-2016,3854.92,5179.61,-1324.69,2882.52,1499.38,1383.14
19-01-2016,2695.97,3553.67,-857.7,2691.27,1304.44,1386.83
18-01-2016,3140.59,4344.43,-1203.84,2667.92,1545.12,1122.8
15-01-2016,3172.68,4296.47,-1123.79,2320.25,1631.41,688.84
14-01-2016,3096.69,4318.66,-1221.97,3281.53,1755.31,1526.22
13-01-2016,4316.56,4392.46,-75.9,2503.24,1884.45,618.79
12-01-2016,3090.47,3631.46,-540.99,1860.65,1719.4,141.25
11-01-2016,3157.82,4477.06,-1319.24,1848.47,947.48,900.99
08-01-2016,3802.86,5039.81,-1236.95,2200.62,1196.63,1003.99
07-01-2016,3610.14,4661.88,-1051.74,2237.52,2046.66,190.86
06-01-2016,4452.42,4694.9,-242.48,2091.12,1514.55,576.57
05-01-2016,3361.38,3713.8,-352.42,1631.28,1618.09,13.19
04-01-2016,2097.07,2764.22,-667.15,1371.47,1594.26,-222.79
01-01-2016,540.77,312.66,228.11,783.36,864.6,-81.24
30-12-2015,2088.07,1935.87,152.2,1414.35,1488.76,-74.41
29-12-2015,2278.39,2269.9,8.49,1473.43,1466.99,6.44
28-12-2015,1900.63,2203.25,-302.62,2446.49,1458.67,987.82
24-12-2015,1181.13,1293.16,-112.03,842.0,833.95,8.05
23-12-2015,2426.42,2040.6,385.82,1743.36,1110.72,632.64
22-12-2015,2578.47,2409.74,168.73,1362.28,1123.92,238.36
21-12-2015,2468.66,2431.29,37.37,1191.34,1128.64,62.7
18-12-2015,5642.44,5649.43,-6.99,1448.04,1853.02,-404.98
17-12-2015,4108.58,3470.57,638.01,1950.31,2316.54,-366.23
16-12-2015,2732.49,3235.71,-503.22,2288.98,1264.95,1024.03
15-12-2015,3277.54,3228.87,48.67,1663.79,1389.86,273.93
14-12-2015,2764.1,2921.17,-157.07,1627.73,1241.26,386.47
11-12-2015,3824.52,3570.79,253.73,1790.32,1497.44,292.88
10-12-2015,3226.68,3806.96,-580.28,1741.9,1330.98,410.92
09-12-2015,3096.25,3623.66,-527.41,1938.11,1073.4,864.71
08-12-2015,3109.43,3627.89,-518.46,1577.24,986.92,590.32
07-12-2015,3686.75,3751.79,-65.04,1268.82,1323.72,-54.9
04-12-2015,3561.68,5307.41,-1745.73,2344.24,1275.23,1069.01
03-12-2015,3192.71,3804.14,-611.43,1612.95,1091.84,521.11
02-12-2015,3712.27,3651.66,60.61,1243.43,1321.74,-78.31
01-12-2015,4097.82,4204.6,-106.78,1337.74,1142.99,194.75
30-11-2015,13538.84,14582.68,-1043.84,2977.78,2376.05,601.73
27-11-2015,2676.99,3196.24,-519.25,2074.43,1173.95,900.48
26-11-2015,5980.12,6378.22,-398.1,3343.24,2394.26,948.98
